"Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","GDP_wb","clasificacion.gdp15","category"
"Austria",2015,"Developed",81.5,65,0,NA,0,93,309,57.6,0,93,NA,93,0.1,43665.947,8633169,1.9,2.1,0.892,15.9,44178.04738,"high","avr"
"Austria",2014,"Developed",81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8541575,1.8,2,0.892,15.9,51717.49594,"high","avr"
"Austria",2013,"Developed",81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,554.71532,8479375,1.8,2,0.887,15.7,50716.70871,"high","avr"
"Austria",2012,"Developed",88,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,48333.57273,8429991,1.8,2,0.884,15.7,48567.69529,"high","avr"
"Austria",2011,"Developed",88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126.74139,8391643,1.7,2,0.88,15.7,51374.95841,"high","avr"
"Austria",2010,"Developed",84,75,0,12.1,7423.228774,86,52,55.2,0,86,11.17,86,0.1,46657.629,836344,1.7,1.9,0.872,15.4,46858.04327,"high","avr"
"Austria",2009,"Developed",82,77,0,11.3,8053.557638,83,49,54.7,0,83,11.19,83,0.1,47654.18721,8343323,1.7,1.9,0.87,15.3,47963.1794,"high","avr"
"Austria",2008,"Developed",84,76,0,12,8329.731655,83,448,54.2,0,83,1.6,83,0.1,51386.37665,8321496,1.7,1.9,0.864,15.1,51708.76575,"high","avr"
"Austria",2007,"Developed",81,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,46586.6525,8295487,1.7,1.9,0.86,15.2,46855.77175,"high","avr"
"Austria",2006,"Developed",79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,443.99361,8268641,1.7,1.9,0.854,15,40635.28182,"high","avr"
"Austria",2005,"Developed",79.4,85,0,12.4,5992.588029,86,9,52.7,0,86,1.53,86,0.1,38242.4252,8227829,1.7,1.9,0.848,14.9,38403.13388,"high","avr"
"Austria",2004,"Developed",79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693.4262,8171966,1.7,1.9,0.841,14.7,36821.52147,"high","avr"
"Austria",2003,"Developed",78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,3212.9355,8121423,1.7,1.9,0.837,14.7,32222.89724,"high","avr"
"Austria",2002,"Developed",78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,26351.37568,881957,1.7,1.9,0.847,16.1,26401.74546,"high","avr"
"Austria",2001,"Developed",78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,24489.73553,842293,1.7,1.9,0.837,15.5,24537.51426,"high","avr"
"Austria",2000,"Developed",78.1,96,0,13.2,3557.455507,33,0,5.1,0,71,1.6,81,0.1,24517.26745,811566,1.7,1.9,0.833,15.4,24564.45829,"high","avr"
"Costa Rica",2015,"Developing",79.6,95,1,NA,0,92,0,6.5,1,92,NA,92,0.1,1146.36273,487852,1.7,1.7,0.775,14.2,11642.77805,"upper middle","max"
"Costa Rica",2014,"Developing",79.5,96,1,3.45,384.5129138,91,1,59.5,1,91,9.31,91,0.1,1647.44179,4757575,1.7,1.7,0.768,13.9,10847.16967,"upper middle","max"
"Costa Rica",2013,"Developing",79.4,96,1,3.42,386.1379123,94,0,58.5,1,95,9.47,95,0.1,1569.66631,47641,1.7,1.7,0.762,13.7,10744.09102,"upper middle","max"
"Costa Rica",2012,"Developing",79.2,97,1,3.34,2568.237059,91,0,57.5,1,9,9.56,91,0.1,9985.36959,4654122,1.8,1.7,0.758,13.6,10075.00462,"upper middle","max"
"Costa Rica",2011,"Developing",79,98,1,3.41,2429.854745,84,0,56.5,1,82,9.73,85,0.1,9186.59639,46474,1.8,1.7,0.752,13.4,9229.834517,"upper middle","max"
"Costa Rica",2010,"Developing",78.1,16,1,3.58,2377.010299,89,0,55.5,1,93,9.66,88,0.1,8199.414621,454528,1.8,1.8,0.749,13.3,8227.127494,"upper middle","max"
"Costa Rica",2009,"Developing",79.2,96,1,4.07,24.88720369,87,0,54.4,1,8,9.69,86,0.1,689.396224,4488263,1.9,1.8,0.747,13.1,6801.036735,"upper middle","max"
"Costa Rica",2008,"Developing",78.9,99,1,4.22,1859.095621,89,0,53.4,1,89,9.1,9,0.1,6911.136136,442958,1.9,1.8,0.74,12.9,6901.388306,"upper middle","max"
"Costa Rica",2007,"Developing",78.9,93,1,4.2,150.8891479,89,0,52.4,1,89,8.37,89,0.1,612.623418,4369469,1.9,1.9,0.734,12.8,6103.741917,"upper middle","max"
"Costa Rica",2006,"Developing",78,16,1,4.15,1185.412346,88,0,51.4,1,89,7.82,89,0.1,5245.187372,438794,2,1.9,0.727,12.6,5227.465952,"upper middle","max"
"Costa Rica",2005,"Developing",78.6,97,1,4.1,1002.833273,9,1,5.3,1,91,7.74,91,0.1,4697.11135,4247841,2,2,0.723,12.4,4676.379366,"upper middle","max"
"Costa Rica",2004,"Developing",77.7,12,1,4.09,1043.10795,89,0,49.3,1,9,7.8,9,0.1,4425.57467,418738,2.1,2,0.719,12.2,4404.711884,"upper middle","max"
"Costa Rica",2003,"Developing",78,1,1,4.04,1070.268999,86,1,48.3,1,88,8.45,88,0.1,4167.71417,4125971,2.2,2.1,0.715,12.1,4147.824369,"upper middle","max"
"Costa Rica",2002,"Developing",78.3,99,1,4.17,112.9493745,94,0,47.3,1,94,8.23,94,0.1,462.14965,46324,2.2,2.2,0.712,11.9,4042.705686,"upper middle","max"
"Costa Rica",2001,"Developing",77.5,1,1,4.29,868.3713593,8,0,46.4,1,92,7.25,91,0.1,3981.52847,3996798,2.3,2.2,0.708,11.7,3960.307703,"upper middle","max"
"Costa Rica",2000,"Developing",77.6,98,1,4.34,94.17819458,89,0,45.4,1,8,7.12,88,0.1,388.363689,3925443,2.4,2.3,0.702,11.6,3789.053888,"upper middle","max"
"Egypt",2015,"Developing",79,159,51,NA,0,93,5432,61.1,60,93,NA,93,0.1,NA,NA,2.8,2.8,0.688,13.1,3562.932658,"lower middle","max"
"Egypt",2014,"Developing",78,161,53,0.21,0,94,1314,6.2,62,94,5.64,94,0.1,NA,NA,2.8,2.8,0.686,13.1,3379.557986,"lower middle","max"
"Egypt",2013,"Developing",79,159,54,0.21,0,97,405,59.4,63,97,5.46,97,0.1,NA,NA,2.9,2.8,0.681,12.8,3262.657586,"lower middle","max"
"Egypt",2012,"Developing",72,165,54,0.23,0,93,245,58.6,64,93,5.29,93,0.1,NA,NA,2.9,2.8,0.673,12.4,3229.68563,"lower middle","max"
"Egypt",2011,"Developing",74,168,55,0.22,0,96,26,57.8,64,96,5.4,96,0.1,NA,NA,2.9,2.9,0.671,12.4,2791.810766,"lower middle","max"
"Egypt",2010,"Developing",70,173,54,0.22,0,97,16,57,64,97,4.8,97,0.1,NA,NA,3,2.9,0.665,12.2,2645.968759,"lower middle","max"
"Egypt",2009,"Developing",69.9,174,54,0.21,0,97,608,56.2,64,97,5.1,97,0.1,NA,NA,3,3,0.659,12,2331.26884,"lower middle","max"
"Egypt",2008,"Developing",69.8,172,54,0.24,0,97,668,55.5,65,97,4.82,97,0.1,NA,NA,3.1,3,0.651,11.9,2044.527804,"lower middle","max"
"Egypt",2007,"Developing",69.7,171,55,0.21,0,98,1684,54.8,65,98,4.95,98,0.1,NA,NA,3.1,3.1,0.644,11.7,1667.317998,"lower middle","max"
"Egypt",2006,"Developing",69.5,175,55,0.18,0,98,953,54.2,66,98,5.24,98,0.1,NA,NA,3.2,3.1,0.636,11.5,1397.43669,"lower middle","max"
"Egypt",2005,"Developing",69.4,174,56,0.16,0,98,77,53.5,68,98,5.6,98,0.1,NA,NA,3.2,3.2,0.629,11.4,1186.393313,"lower middle","max"
"Egypt",2004,"Developing",69,176,57,0.16,0,97,80,52.9,70,97,5.21,97,0.1,NA,NA,3.3,3.2,0.623,11.2,1062.158092,"lower middle","max"
"Egypt",2003,"Developing",68.6,178,59,0.15,0,98,164,52.3,72,98,5.41,98,0.1,NA,NA,3.3,3.3,0.621,11.3,1102.468199,"lower middle","max"
"Egypt",2002,"Developing",68.7,177,61,0.15,0,97,653,51.8,75,97,5.97,97,0.1,NA,NA,3.4,3.4,0.617,11.2,1191.103239,"lower middle","max"
"Egypt",2001,"Developing",68.6,177,63,0.14,0,99,2150,51.2,78,99,5.75,99,0.1,NA,NA,3.5,3.4,0.612,11.1,1378.203383,"lower middle","max"
"Egypt",2000,"Developing",68.8,171,65,0.14,0,98,2633,5.7,82,98,5.55,98,0.1,NA,NA,3.6,3.5,0.606,11,1450.476242,"lower middle","max"
"Haiti",2015,"Developing",63.5,24,14,NA,0,6,0,49.9,18,56,NA,6,0.5,814.5463952,171161,3.9,3.9,0.49,9.1,1389.119779,"lower middle","min"
"Haiti",2014,"Developing",63.1,245,14,0.01,5.103249438,48,0,48.8,19,55,7.56,48,0.5,83.1148117,1572466,3.9,3.9,0.487,9.1,1402.100289,"lower middle","min"
"Haiti",2013,"Developing",62.7,253,14,5.68,4.989712322,68,0,47.7,19,67,8.1,68,0.5,81.265673,1431776,3.9,3.9,0.483,9.1,1393.956085,"lower middle","min"
"Haiti",2012,"Developing",62.3,259,15,5.68,26.37942542,NA,0,46.5,20,67,9.88,67,0.8,766.8437623,128921,3.9,3.9,0.477,8.9,1337.336475,"lower middle","min"
"Haiti",2011,"Developing",62.3,259,15,5.68,4.106484317,NA,0,45.3,20,67,1.41,68,1.5,74.9358452,114554,4,4,0.47,8.7,1287.954058,"lower middle","min"
"Haiti",2010,"Developing",36.3,682,23,5.76,36.2929176,NA,0,44.2,58,66,8.9,66,1.9,662.2795182,9999617,4,4,0.47,8.6,1172.099015,"lower middle","min"
"Haiti",2009,"Developing",62.5,251,16,5.85,41.30079452,NA,0,43,21,65,6.68,65,2,668.297646,985287,4.1,4.1,0.466,8.5,1150.211089,"lower middle","min"
"Haiti",2008,"Developing",62.1,259,16,5.95,63.83195683,NA,0,41.8,22,64,5.92,63,2.4,674.7564147,97529,4.2,4.2,0.462,8.4,1076.702447,"lower middle","min"
"Haiti",2007,"Developing",61.8,266,17,6.08,56.77858733,NA,0,4.7,23,62,5.56,63,2.7,615.8198192,9556889,4.2,4.2,0.458,8.4,981.1105146,"lower middle","min"
"Haiti",2006,"Developing",61.1,28,17,6.18,6.995556386,NA,0,39.6,23,61,5.7,6,3.3,55.47626,949457,4.3,4.3,0.455,8.3,792.8260107,"lower middle","min"
"Haiti",2005,"Developing",65,29,17,5.57,38.10904264,NA,0,38.5,24,6,4.41,6,3.9,465.311876,926344,4.4,4.4,0.452,8.2,766.6919755,"lower middle","min"
"Haiti",2004,"Developing",58.7,32,18,6.1,64.39853344,NA,0,37.5,24,58,5.61,55,4.3,387.9429725,9119178,4.5,4.5,0.45,8.1,663.7943295,"lower middle","min"
"Haiti",2003,"Developing",59.7,3,18,6.64,44.25687135,NA,0,36.5,25,56,5.32,53,4.6,329.782946,8976552,4.5,4.6,0.447,8.1,561.8176913,"lower middle","min"
"Haiti",2002,"Developing",59.3,33,19,6.1,50.28558223,NA,0,35.6,26,54,5.47,48,4.8,393.16327,8834733,4.6,4.7,0.444,8,697.597063,"lower middle","min"
"Haiti",2001,"Developing",58.9,35,19,6.22,60.77815868,NA,159,34.8,27,52,5.63,45,5,413.7383164,8692567,4.7,4.7,0.443,7.9,739.348191,"lower middle","min"
"Haiti",2000,"Developing",58.6,35,20,4.79,74.46033036,NA,992,34,28,5,6.6,41,5.1,462.486524,85492,4.8,4.8,0.439,7.8,811.5343577,"lower middle","min"
"Mauritius",2015,"Developing",74.6,146,0,NA,0,97,0,33.3,0,98,NA,97,0.1,9252.11724,126265,6.9,6.8,0.779,15.2,9260.447303,"upper middle","avr"
"Mauritius",2014,"Developing",74.2,148,0,0.01,115.2784282,97,0,32.8,0,98,4.81,97,0.1,1153.93822,126934,7,6.9,0.769,14.7,10153.93269,"upper middle","avr"
"Mauritius",2013,"Developing",74.1,147,0,0.01,917.467628,98,0,32.3,0,98,4.82,98,0.1,9637.265,1258653,7,7,0.765,14.7,9637.015729,"upper middle","avr"
"Mauritius",2012,"Developing",73.9,154,0,0.01,915.1859205,98,0,31.8,0,98,4.76,98,0.1,9291.227619,1255882,7.1,7,0.756,14.3,9291.236379,"upper middle","avr"
"Mauritius",2011,"Developing",73.6,158,0,3.03,918.807245,98,2,31.3,0,98,5.2,98,0.1,9197.26972,125244,7.1,7.1,0.748,14.1,9197.042991,"upper middle","avr"
"Mauritius",2010,"Developing",73.3,163,0,2.95,0.108055973,99,12,3.7,0,99,5.29,99,0.2,8.376432,1254,7.2,7.2,0.74,14,8000.376432,"upper middle","avr"
"Mauritius",2009,"Developing",72.8,166,0,2.83,624.2361828,99,15,3.2,0,99,4.97,99,0.1,7318.12641,1247429,7.3,7.3,0.734,13.8,7318.12641,"upper middle","avr"
"Mauritius",2008,"Developing",72.7,166,0,2.49,6.6489825,99,12,29.7,0,99,4.6,99,0.1,83.635,1244121,7.4,7.3,0.728,13.6,8030.063005,"upper middle","avr"
"Mauritius",2007,"Developing",72.9,161,0,3.24,582.5143743,97,13,29.1,0,96,4.24,97,0.1,6574.654338,123963,7.5,7.4,0.72,13.5,6574.654338,"upper middle","avr"
"Mauritius",2006,"Developing",71.8,165,0,3.73,502.3844946,97,3,28.6,0,98,4.38,97,0.1,5695.969327,1233996,7.6,7.5,0.713,13.4,5695.969327,"upper middle","avr"
"Mauritius",2005,"Developing",72.1,168,0,3.94,479.9234077,97,7,28,0,97,4.47,97,0.1,5116.45424,1228254,7.7,7.6,0.704,13,5282.906022,"upper middle","avr"
"Mauritius",2004,"Developing",71.9,168,0,4.16,509.3899943,98,28,27.5,0,98,4.29,98,0.1,5229.876738,12213,7.8,7.7,0.696,12.8,5388.065784,"upper middle","avr"
"Mauritius",2003,"Developing",71.5,174,0,4.08,407.779262,97,777,26.9,0,99,4.15,99,0.1,4623.347642,121337,7.9,7.8,0.687,12.6,4793.718179,"upper middle","avr"
"Mauritius",2002,"Developing",71.5,179,0,4.14,369.6317105,88,0,26.4,0,88,4.24,88,0.1,3957.51296,124621,7.9,7.9,0.683,12.5,4018.948897,"upper middle","avr"
"Mauritius",2001,"Developing",71.5,177,0,4.38,70.15536981,92,0,25.8,0,93,3.87,92,0.1,3792.182152,1196287,8,8,0.673,12.2,3856.625227,"upper middle","avr"
"Mauritius",2000,"Developing",71,177,0,4.6,336.3213326,88,0,25.3,0,88,3.78,88,0.1,3861.32414,1186873,8.1,8.1,0.667,12.1,3929.075495,"upper middle","avr"
"Micronesia",2015,"Developing",69.4,166,0,NA,0,78,0,69.4,0,71,NA,72,0.1,NA,NA,0.2,0.2,0.637,11.7,2906.617012,"lower middle","avr"
"Micronesia",2014,"Developing",69.4,164,0,1.58,0,81,140,68.7,0,76,13.71,77,0.1,NA,NA,0.2,0.2,0.639,11.7,2971.512602,"lower middle","avr"
"Micronesia",2013,"Developing",69.2,166,0,1.67,0,83,0,68.1,0,81,13.38,81,0.1,NA,NA,0.2,0.2,0.641,11.7,2994.792394,"lower middle","avr"
"Micronesia",2012,"Developing",69,168,0,2.98,0,82,0,67.5,0,81,12.77,81,0.1,NA,NA,0.2,0.2,0.64,11.7,3131.386715,"lower middle","avr"
"Micronesia",2011,"Developing",68.9,169,0,1.89,0,83,0,67,0,83,13.76,84,0.1,NA,NA,0.2,0.2,0.638,11.7,3009.256825,"lower middle","avr"
"Micronesia",2010,"Developing",68.7,171,0,1.76,0,88,0,66.4,0,85,13.83,85,0.1,NA,NA,0.2,0.2,0.633,11.5,2885.305492,"lower middle","avr"
"Micronesia",2009,"Developing",68.5,172,0,2.06,0,89,0,65.8,0,81,13.44,91,0.1,NA,NA,0.2,0.2,0.629,11.4,2721.97609,"lower middle","avr"
"Micronesia",2008,"Developing",68.4,174,0,1.97,0,89,0,65.2,0,88,12.94,85,0.1,NA,NA,0.2,0.2,0.628,11.2,2541.261625,"lower middle","avr"
"Micronesia",2007,"Developing",68.2,175,0,1.64,0,9,0,64.7,0,79,11.99,79,0.1,NA,NA,0.2,0.2,0.625,11,2458.658394,"lower middle","avr"
"Micronesia",2006,"Developing",68,176,0,1.73,0,84,0,64.1,0,81,11.92,67,0.1,NA,NA,0.2,0.2,0.622,10.9,2406.114412,"lower middle","avr"
"Micronesia",2005,"Developing",67.9,178,0,1.9,0,91,0,63.6,0,94,12.11,94,0.1,NA,NA,0.2,0.2,0.617,10.7,2358.1467,"lower middle","avr"
"Micronesia",2004,"Developing",67.7,179,0,2.02,0,8,0,63.2,0,82,1.64,78,0.1,NA,NA,0.2,0.2,0.616,10.5,2253.113745,"lower middle","avr"
"Micronesia",2003,"Developing",67.5,18,0,3.15,0,89,0,62.8,0,88,9.69,92,0.1,NA,NA,0.2,0.2,0.612,10.4,2295.868178,"lower middle","avr"
"Micronesia",2002,"Developing",66.2,21,0,2.78,0,85,0,62.4,0,84,8.2,84,0.1,NA,NA,0.2,0.2,0.608,10.2,2265.944108,"lower middle","avr"
"Micronesia",2001,"Developing",67.2,183,0,2.82,0,81,0,62,0,79,8.58,75,0.1,NA,NA,0.3,0.2,0.604,10.1,2248.492115,"lower middle","avr"
"Micronesia",2000,"Developing",67,185,0,2.23,0,87,0,61.5,0,85,7.88,85,0.1,NA,NA,0.3,0.3,0,0,2171.889577,"lower middle","avr"
"Rwanda",2015,"Developing",66.1,227,11,NA,0,98,1,21.4,15,99,NA,98,0.4,71.348397,11629553,5.7,5.7,0.493,10.8,751.0773926,"low","avr"
"Rwanda",2014,"Developing",65.7,23,12,0.01,7.549797238,98,10,2.8,16,98,7.53,98,0.4,76.5699517,11345357,5.8,5.8,0.488,10.8,743.559038,"low","avr"
"Rwanda",2013,"Developing",65.2,233,12,0.01,11.71090655,98,17,2.1,17,98,7.69,98,0.5,688.8768557,1165151,5.9,5.9,0.485,10.8,722.8943285,"low","avr"
"Rwanda",2012,"Developing",64.6,239,13,0.01,9.774676411,98,75,19.5,18,98,7.68,98,0.7,678.796973,1788853,6.1,6.1,0.475,10.5,725.1697703,"low","avr"
"Rwanda",2011,"Developing",63.8,247,14,8.34,9.074569426,97,31,18.9,20,93,7.71,97,1.3,617.317648,151671,6.3,6.2,0.464,10.2,668.4946722,"low","avr"
"Rwanda",2010,"Developing",62.8,26,16,7.92,63.78723633,97,121,18.3,23,93,7.91,97,2.3,563.491487,1246842,6.5,6.3,0.454,10,609.724917,"low","avr"
"Rwanda",2009,"Developing",61,288,17,7.11,9.165614959,97,5,17.7,25,93,7.2,97,2.8,539.1538211,9977446,6.6,6.4,0.447,10.2,579.726615,"low","avr"
"Rwanda",2008,"Developing",68,282,18,6.39,0.661540371,97,6,17.1,28,97,7.66,97,3.7,5.6687264,978169,6.7,6.6,0.438,10.4,543.5453565,"low","avr"
"Rwanda",2007,"Developing",59.6,295,20,6.78,7.409771603,97,26,16.5,30,98,8.49,97,5,44.853339,944742,6.8,6.7,0.424,10.1,438.6641845,"low","avr"
"Rwanda",2006,"Developing",57.6,328,22,6.88,78.47020226,99,494,15.9,34,99,1.2,99,6.2,342.3656294,92658,6.8,6.8,0.404,9.3,366.8943924,"low","avr"
"Rwanda",2005,"Developing",55.3,37,24,7.01,39.44666715,95,129,15.4,38,95,6.83,95,7.1,287.931877,8991735,6.8,7,0.388,8.8,331.6901134,"low","avr"
"Rwanda",2004,"Developing",53.4,397,26,6.75,31.93566186,89,386,14.9,42,89,6.24,89,7.7,236.9114381,8818438,6.9,7.1,0.371,8.2,273.6336903,"low","avr"
"Rwanda",2003,"Developing",52,48,29,6.66,33.30286123,96,1064,14.5,46,96,6.34,96,8.1,212.6619491,868346,7,7.3,0.359,7.6,249.7433131,"low","avr"
"Rwanda",2002,"Developing",57,415,31,7.82,1.9659778,88,2738,14.1,50,85,4.18,88,8,196.59778,853625,7.2,7.4,0.343,7.2,233.1512636,"low","avr"
"Rwanda",2001,"Developing",48.6,438,33,5.72,0.388253772,NA,896,13.7,54,76,4.38,77,8.1,21.569654,832946,7.4,7.5,0.332,7.1,238.7812778,"low","avr"
"Rwanda",2000,"Developing",48.3,426,34,7.13,18.41791804,NA,2095,13.2,57,9,4.22,9,8.5,216.172747,82573,7.6,7.7,0.318,6.6,260.6011858,"low","avr"
"Sierra Leone",2015,"Developing",51,413,22,NA,0,86,607,24.4,30,86,NA,86,0.5,587.538233,723725,7.4,7.3,0.431,9.5,588.2288628,"low","min"
"Sierra Leone",2014,"Developing",48.1,463,23,0.01,1.443286353,83,1006,23.8,32,83,11.9,83,0.6,78.4394757,779162,7.5,7.4,0.426,9.5,714.6997957,"low","min"
"Sierra Leone",2013,"Developing",54,47,23,0.01,1.321464076,92,15,23.3,33,92,11.59,92,0.8,71.8186998,692279,7.7,7.6,0.413,9.3,716.8358269,"low","min"
"Sierra Leone",2012,"Developing",49.7,411,25,0.01,54.56033696,91,678,22.7,35,91,11.24,91,0.9,561.8984239,676613,7.9,7.8,0.401,9.1,566.3782351,"low","min"
"Sierra Leone",2011,"Developing",48.9,418,26,3.78,54.6659175,89,1865,22.2,38,88,11.98,89,1.3,445.525,6611692,8.1,8,0.392,8.9,448.3376621,"low","min"
"Sierra Leone",2010,"Developing",48.1,424,27,3.84,5.347717533,86,1089,21.7,40,84,1.32,86,1.6,45.128418,645872,8.3,8.2,0.384,8.7,401.8348761,"low","min"
"Sierra Leone",2009,"Developing",47.1,433,28,3.97,49.8371267,84,31,21.2,42,81,13.13,84,1.7,394.5932439,63126,8.5,8.4,0.375,8.5,391.200943,"low","min"
"Sierra Leone",2008,"Developing",46.2,441,29,3.91,5.379606465,77,44,2.7,44,75,1.29,77,1.9,46.3759178,6165372,8.7,8.7,0.367,8.3,408.4810085,"low","min"
"Sierra Leone",2007,"Developing",45.3,45,29,3.86,45.57108889,63,0,2.2,45,63,1.12,64,2.2,358.8274716,615417,8.9,8.9,0.357,8.2,360.3716605,"low","min"
"Sierra Leone",2006,"Developing",44.3,464,30,3.8,38.00075788,NA,33,19.7,46,65,1.68,64,2.2,322.313468,5848692,9.1,9.1,0.348,8,323.3890184,"low","min"
"Sierra Leone",2005,"Developing",43.3,48,30,3.83,42.08892911,NA,29,19.2,47,67,12.25,65,2.2,287.6891942,5658379,9.3,9.3,0.341,7.8,292.3490663,"low","min"
"Sierra Leone",2004,"Developing",42.3,496,30,3.99,38.52454761,NA,7,18.8,47,69,11.66,65,2.1,263.145817,5439695,9.5,9.5,0.332,7.6,266.5693713,"low","min"
"Sierra Leone",2003,"Developing",41.5,57,30,4.07,38.61473209,NA,586,18.4,47,66,11.69,73,1.9,263.7618312,5199549,9.7,9.8,0.322,7.4,266.4469054,"low","min"
"Sierra Leone",2002,"Developing",48,513,30,4.06,36.59114895,NA,568,17.9,48,54,11.96,53,1.7,249.939542,4957216,9.9,1,0.306,7.2,252.396007,"low","min"
"Sierra Leone",2001,"Developing",41,519,30,4.21,33.34691455,NA,649,17.5,48,38,11.83,38,1.5,227.779471,4739147,1.1,1.2,0.302,7,229.3756595,"low","min"
"Sierra Leone",2000,"Developing",39,533,29,3.97,20.39568283,NA,3575,17.2,48,46,13.63,44,1.2,139.3147734,4564297,1.3,1.4,0.292,6.7,138.6987225,"low","min"
"Sweden",2015,"Developed",82.4,53,0,NA,0,67,22,59.5,0,98,NA,98,0.1,5585.25847,9799186,1.5,1.4,0.909,15.9,51545.48361,"high","max"
"Sweden",2014,"Developed",82.3,54,0,7.3,1142.212403,67,26,59,0,98,11.93,98,0.1,5918.19898,969611,1.5,1.3,0.906,15.8,60020.36046,"high","max"
"Sweden",2013,"Developed",81.9,57,0,7.3,1212.666327,67,51,58.5,0,98,11.97,98,0.1,6283.24522,96379,1.4,1.3,0.904,15.8,61126.9432,"high","max"
"Sweden",2012,"Developed",81.7,57,0,7.4,10947.02327,53,30,58.1,0,98,11.8,98,0.1,57134.777,9519374,1.4,1.3,0.903,15.8,58037.82132,"high","max"
"Sweden",2011,"Developed",81.7,58,0,7.4,11477.6671,42,26,57.7,0,98,11.7,98,0.1,59593.28711,9449213,1.4,1.3,0.901,16,60755.75955,"high","max"
